No,;Time;Source;Destination;Protocol;Length;Info;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
399;3,26649;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=64193 Win=2082 Len=0;;;;3,26649;3,269532;0,003042;;0,002628;0,000414;-0,002214
400;3,269532;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,269532;3,269946;0,000414;;0,000114;0,0003;0,000186
401;3,269946;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=65553 Win=2082 Len=0;;;;3,269946;3,270246;0,0003;;0,000233;6,70E-05;-0,000166
402;3,270246;172.217.194.132;192,168,43,157;TLSv1,2;1414;Application Data;;;;3,270246;3,270313;6,70E-05;;1,80E-05;4,90E-05;3,10E-05
403;3,270313;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,270313;3,270362;4,90E-05;;-0,000145;0,000194;0,000339
404;3,270362;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,270362;3,270556;0,000194;;5,40E-05;0,00014;8,60E-05
405;3,270556;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=66913 Win=2082 Len=0;;;;3,270556;3,270696;0,00014;;-0,001892;0,002032;0,003924
406;3,270696;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=68273 Win=2082 Len=0;;;;3,270696;3,272728;0,002032;;0,001773;0,000259;-0,001514
407;3,272728;172.217.194.132;192,168,43,157;TLSv1,2;1414;Application Data;;;;3,272728;3,272987;0,000259;;-0,000245;0,000504;0,000749
408;3,272987;192,168,43,157;172.217.194.132;TCP;54;50213  >  443 [ACK] Seq=426 Ack=20168 Win=260 Len=0;;;;3,272987;3,273491;0,000504;;0,000206;0,000298;9,20E-05
409;3,273491;74,125,24,119;192,168,43,157;TLSv1,2;5494;Application Data, Application Data, Application Data, Application Data;;;;3,273491;3,273789;0,000298;;-0,002346;0,002644;0,00499
410;3,273789;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=73713 Win=2082 Len=0;;;;3,273789;3,276433;0,002644;;0,002297;0,000347;-0,00195
411;3,276433;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,276433;3,27678;0,000347;;0,000196;0,000151;-4,50E-05
412;3,27678;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=76433 Win=2082 Len=0;;;;3,27678;3,276931;0,000151;;-0,000102;0,000253;0,000355
413;3,276931;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,276931;3,277184;0,000253;;-0,001786;0,002039;0,003825
414;3,277184;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=79153 Win=2082 Len=0;;;;3,277184;3,279223;0,002039;;0,001907;0,000132;-0,001775
415;3,279223;74,125,24,119;192,168,43,157;TLSv1,2;5494;Application Data, Application Data, Application Data, Application Data;;;;3,279223;3,279355;0,000132;;-0,000137;0,000269;0,000406
416;3,279355;172.217.194.132;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,279355;3,279624;0,000269;;-1,90E-05;0,000288;0,000307
417;3,279624;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=84593 Win=2082 Len=0;;;;3,279624;3,279912;0,000288;;-0,000557;0,000845;0,001402
418;3,279912;192,168,43,157;172.217.194.132;TCP;54;50213  >  443 [ACK] Seq=426 Ack=22888 Win=260 Len=0;;;;3,279912;3,280757;0,000845;;0,000513;0,000332;-0,000181
419;3,280757;74,125,24,119;192,168,43,157;TLSv1,2;6854;Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,280757;3,281089;0,000332;;-0,001023;0,001355;0,002378
420;3,281089;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=91393 Win=2082 Len=0;;;;3,281089;3,282444;0,001355;;0,001093;0,000262;-0,000831
421;3,282444;74,125,24,119;192,168,43,157;TLSv1,2;10934;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,282444;3,282706;0,000262;;-0,000949;0,001211;0,00216
422;3,282706;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=102273 Win=2082 Len=0;;;;3,282706;3,283917;0,001211;;0,001211;0;-0,001211
423;3,283917;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,283917;3,283917;0;;-0,000262;0,000262;0,000524
424;3,283917;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,283917;3,284179;0,000262;;-0,000686;0,000948;0,001634
425;3,284179;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=103633 Win=2082 Len=0;;;;3,284179;3,285127;0,000948;;0,000636;0,000312;-0,000324
426;3,285127;172.217.194.132;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,285127;3,285439;0,000312;;-0,000942;0,001254;0,002196
427;3,285439;192,168,43,157;172.217.194.132;TCP;54;50213  >  443 [ACK] Seq=426 Ack=25608 Win=260 Len=0;;;;3,285439;3,286693;0,001254;;0,001088;0,000166;-0,000922
428;3,286693;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,286693;3,286859;0,000166;;-0,007061;0,007227;0,014288
429;3,286859;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=106353 Win=2082 Len=0;;;;3,286859;3,294086;0,007227;;0,006616;0,000611;-0,006005
430;3,294086;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,294086;3,294697;0,000611;;0,000315;0,000296;-1,90E-05
431;3,294697;74,125,24,119;192,168,43,157;TLSv1,2;4134;Application Data, Application Data, Application Data;;;;3,294697;3,294993;0,000296;;-0,000414;0,00071;0,001124
432;3,294993;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=111793 Win=2082 Len=0;;;;3,294993;3,295703;0,00071;;0,00018;0,00053;0,00035
433;3,295703;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,295703;3,296233;0,00053;;0,0003;0,00023;-7,00E-05
434;3,296233;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data, Application Data;;;;3,296233;3,296463;0,00023;;-0,00039;0,00062;0,00101
435;3,296463;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=115873 Win=2082 Len=0;;;;3,296463;3,297083;0,00062;;0,000368;0,000252;-0,000116
436;3,297083;74,125,24,119;192,168,43,157;TLSv1,2;5494;Application Data, Application Data, Application Data, Application Data;;;;3,297083;3,297335;0,000252;;-0,004262;0,004514;0,008776
437;3,297335;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=121313 Win=2082 Len=0;;;;3,297335;3,301849;0,004514;;0,00438;0,000134;-0,004246
438;3,301849;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,301849;3,301983;0,000134;;9,40E-05;4,00E-05;-5,40E-05
439;3,301983;172.217.194.132;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,301983;3,302023;4,00E-05;;-4,90E-05;8,90E-05;0,000138
440;3,302023;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,302023;3,302112;8,90E-05;;3,90E-05;5,00E-05;1,10E-05
441;3,302112;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,302112;3,302162;5,00E-05;;-0,00021;0,00026;0,00047
442;3,302162;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=122673 Win=2082 Len=0;;;;3,302162;3,302422;0,00026;;1,00E-04;0,00016;6,00E-05
443;3,302422;192,168,43,157;172.217.194.132;TCP;54;50213  >  443 [ACK] Seq=426 Ack=28328 Win=260 Len=0;;;;3,302422;3,302582;0,00016;;-7,30E-05;0,000233;0,000306
444;3,302582;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=125393 Win=2082 Len=0;;;;3,302582;3,302815;0,000233;;-0,001741;0,001974;0,003715
445;3,302815;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=128113 Win=2082 Len=0;;;;3,302815;3,304789;0,001974;;0,001974;0;-0,001974
446;3,304789;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,304789;3,304789;0;;0;0;0
447;3,304789;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,304789;3,304789;0;;-0,000369;0,000369;0,000738
448;3,304789;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,304789;3,305158;0,000369;;0,000175;0,000194;1,90E-05
449;3,305158;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=130833 Win=2082 Len=0;;;;3,305158;3,305352;0,000194;;0,000162;3,20E-05;-0,00013
450;3,305352;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,305352;3,305384;3,20E-05;;-0,000183;0,000215;0,000398
451;3,305384;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=133553 Win=2082 Len=0;;;;3,305384;3,305599;0,000215;;-0,00103;0,001245;0,002275
452;3,305599;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=136273 Win=2082 Len=0;;;;3,305599;3,306844;0,001245;;0,000995;0,00025;-0,000745
453;3,306844;74,125,24,119;192,168,43,157;TLSv1,2;4134;Application Data, Application Data, Application Data;;;;3,306844;3,307094;0,00025;;-0,001654;0,001904;0,003558
454;3,307094;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=140353 Win=2082 Len=0;;;;3,307094;3,308998;0,001904;;0,001654;0,00025;-0,001404
455;3,308998;172.217.194.132;192,168,43,157;TLSv1,2;1414;Application Data;;;;3,308998;3,309248;0,00025;;6,20E-05;0,000188;0,000126
456;3,309248;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,309248;3,309436;0,000188;;7,80E-05;0,00011;3,20E-05
457;3,309436;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=141713 Win=2082 Len=0;;;;3,309436;3,309546;0,00011;;-0,000117;0,000227;0,000344
458;3,309546;172.217.194.132;192,168,43,157;TLSv1,2;1414;Application Data;;;;3,309546;3,309773;0,000227;;-0,000862;0,001089;0,001951
459;3,309773;192,168,43,157;172.217.194.132;TCP;54;50213  >  443 [ACK] Seq=426 Ack=31048 Win=260 Len=0;;;;3,309773;3,310862;0,001089;;-0,001361;0,00245;0,003811
460;3,310862;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,310862;3,313312;0,00245;;0,001918;0,000532;-0,001386
461;3,313312;74,125,24,119;192,168,43,157;TLSv1,2;10934;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,313312;3,313844;0,000532;;-0,002844;0,003376;0,00622
462;3,313844;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=153953 Win=2082 Len=0;;;;3,313844;3,31722;0,003376;;0,002936;0,00044;-0,002496
463;3,31722;74,125,24,119;192,168,43,157;TLSv1,2;8214;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,31722;3,31766;0,00044;;0,000344;9,60E-05;-0,000248
464;3,31766;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=162113 Win=2082 Len=0;;;;3,31766;3,317756;9,60E-05;;-0,000182;0,000278;0,00046
465;3,317756;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,317756;3,318034;0,000278;;-0,000346;0,000624;0,00097
466;3,318034;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=163473 Win=2082 Len=0;;;;3,318034;3,318658;0,000624;;0,000339;0,000285;-5,40E-05
467;3,318658;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,318658;3,318943;0,000285;;-0,00229;0,002575;0,004865
468;3,318943;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=166193 Win=2082 Len=0;;;;3,318943;3,321518;0,002575;;0,001813;0,000762;-0,001051
469;3,321518;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,321518;3,32228;0,000762;;0,000255;0,000507;0,000252
470;3,32228;74,125,24,119;192,168,43,157;TLSv1,2;6854;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,32228;3,322787;0,000507;;0,000115;0,000392;0,000277
471;3,322787;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=468 Ack=174353 Win=2082 Len=0;;;;3,322787;3,323179;0,000392;;-0,000509;0,000901;0,00141
472;3,323179;192,168,43,157;74,125,24,119;TLSv1,2;93;Application Data;;;;3,323179;3,32408;0,000901;;0,000636;0,000265;-0,000371
473;3,32408;74,125,24,119;192,168,43,157;TLSv1,2;5494;Application Data, Application Data, Application Data, Application Data;;;;3,32408;3,324345;0,000265;;3,30E-05;0,000232;0,000199
474;3,324345;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=179793 Win=2082 Len=0;;;;3,324345;3,324577;0,000232;;-7,80E-05;0,00031;0,000388
475;3,324577;172.217.194.132;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,324577;3,324887;0,00031;;-0,000173;0,000483;0,000656
476;3,324887;192,168,43,157;172.217.194.132;TCP;54;50213  >  443 [ACK] Seq=426 Ack=33768 Win=260 Len=0;;;;3,324887;3,32537;0,000483;;0,00029;0,000193;-9,70E-05
477;3,32537;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,32537;3,325563;0,000193;;-0,002317;0,00251;0,004827
478;3,325563;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=181153 Win=2082 Len=0;;;;3,325563;3,328073;0,00251;;0,002315;0,000195;-0,00212
479;3,328073;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,328073;3,328268;0,000195;;4,60E-05;0,000149;0,000103
480;3,328268;172.217.194.132;192,168,43,157;TLSv1,2;1414;Application Data;;;;3,328268;3,328417;0,000149;;0,000115;3,40E-05;-8,10E-05
481;3,328417;172.217.194.132;192,168,43,157;TLSv1,2;1414;Application Data;;;;3,328417;3,328451;3,40E-05;;-0,000169;0,000203;0,000372
482;3,328451;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=182513 Win=2082 Len=0;;;;3,328451;3,328654;0,000203;;-0,001113;0,001316;0,002429
483;3,328654;192,168,43,157;172.217.194.132;TCP;54;50213  >  443 [ACK] Seq=426 Ack=36488 Win=260 Len=0;;;;3,328654;3,32997;0,001316;;0,001016;0,0003;-0,000716
484;3,32997;74,125,24,119;192,168,43,157;TLSv1,2;9574;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,32997;3,33027;0,0003;;-0,006471;0,006771;0,013242
485;3,33027;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=192033 Win=2082 Len=0;;;;3,33027;3,337041;0,006771;;0,006771;0;-0,006771
486;3,337041;74,125,24,119;192,168,43,157;TLSv1,2;6854;Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,337041;3,337041;0;;-0,000606;0,000606;0,001212
487;3,337041;114,4,169,236;192,168,43,157;TLSv1,3;5494;Application Data, Application Data;;;;3,337041;3,337647;0,000606;;0,000349;0,000257;-9,20E-05
488;3,337647;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=198833 Win=4165 Len=0;;;;3,337647;3,337904;0,000257;;2,20E-05;0,000235;0,000213
489;3,337904;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=77492 Win=66560 Len=0;;;;3,337904;3,338139;0,000235;;0,000235;0;-0,000235
490;3,338139;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,338139;3,338139;0;;0;0;0
491;3,338139;34,242,33,12;192,168,43,157;TCP;66;443  >  50154 [ACK] Seq=1 Ack=2 Win=114 Len=0 SLE=1 SRE=2;;;;3,338139;3,338139;0;;0;0;0
492;3,338139;74,125,24,119;192,168,43,157;TLSv1,2;9574;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,338139;3,338139;0;;-0,00026;0,00026;0,00052
493;3,338139;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=77492 Ack=3361 Win=72192 Len=2720 [TCP segment of a reassembled PDU];;;;3,338139;3,338399;0,00026;;-6,00E-06;0,000266;0,000272
494;3,338399;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=201553 Win=4165 Len=0;;;;3,338399;3,338665;0,000266;;8,50E-05;0,000181;9,60E-05
495;3,338665;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=211073 Win=4165 Len=0;;;;3,338665;3,338846;0,000181;;-0,000787;0,000968;0,001755
496;3,338846;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=80212 Win=66560 Len=0;;;;3,338846;3,339814;0,000968;;0,000968;0;-0,000968
497;3,339814;74,125,24,119;192,168,43,157;TLSv1,2;6854;Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,339814;3,339814;0;;-0,00035;0,00035;0,0007
498;3,339814;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=80212 Ack=3361 Win=72192 Len=2720 [TCP segment of a reassembled PDU];;;;3,339814;3,340164;0,00035;;5,90E-05;0,000291;0,000232
499;3,340164;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=217873 Win=4165 Len=0;;;;3,340164;3,340455;0,000291;;-0,000798;0,001089;0,001887
500;3,340455;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=82932 Win=66560 Len=0;;;;3,340455;3,341544;0,001089;;0,001089;0;-0,001089
501;3,341544;74,125,24,119;192,168,43,157;TLSv1,2;6854;Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,341544;3,341544;0;;-0,000304;0,000304;0,000608
502;3,341544;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=82932 Ack=3361 Win=72192 Len=2720 [TCP segment of a reassembled PDU];;;;3,341544;3,341848;0,000304;;0,000123;0,000181;5,80E-05
503;3,341848;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=224673 Win=4165 Len=0;;;;3,341848;3,342029;0,000181;;-0,001464;0,001645;0,003109
504;3,342029;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=85652 Win=66560 Len=0;;;;3,342029;3,343674;0,001645;;0,001645;0;-0,001645
505;3,343674;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,343674;3,343674;0;;0;0;0
506;3,343674;74,125,24,119;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,343674;3,343674;0;;-0,000387;0,000387;0,000774
507;3,343674;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=85652 Ack=3361 Win=72192 Len=2720 [TCP segment of a reassembled PDU];;;;3,343674;3,344061;0,000387;;0,000377;1,00E-05;-0,000367
508;3,344061;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,344061;3,344071;1,00E-05;;-0,000177;0,000187;0,000364
509;3,344071;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=226033 Win=4165 Len=0;;;;3,344071;3,344258;0,000187;;-5,50E-05;0,000242;0,000297
510;3,344258;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=228753 Win=4165 Len=0;;;;3,344258;3,3445;0,000242;;7,90E-05;0,000163;8,40E-05
511;3,3445;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=88372 Win=66560 Len=0;;;;3,3445;3,344663;0,000163;;-0,007534;0,007697;0,015231
512;3,344663;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=230113 Win=4165 Len=0;;;;3,344663;3,35236;0,007697;;0,007388;0,000309;-0,007079
513;3,35236;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,35236;3,352669;0,000309;;-0,001924;0,002233;0,004157
514;3,352669;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=231473 Win=4165 Len=0;;;;3,352669;3,354902;0,002233;;0,002233;0;-0,002233
515;3,354902;74,125,24,119;192,168,43,157;TLSv1,2;5494;Application Data, Application Data, Application Data, Application Data;;;;3,354902;3,354902;0;;-0,000321;0,000321;0,000642
516;3,354902;114,4,169,236;192,168,43,157;TLSv1,3;2774;Application Data [TCP segment of a reassembled PDU];;;;3,354902;3,355223;0,000321;;4,10E-05;0,00028;0,000239
517;3,355223;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,355223;3,355503;0,00028;;0,000105;0,000175;7,00E-05
518;3,355503;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=236913 Win=4165 Len=0;;;;3,355503;3,355678;0,000175;;0,000138;3,70E-05;-0,000101
519;3,355678;172.217.194.132;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;3,355678;3,355715;3,70E-05;;-1,60E-05;5,30E-05;6,90E-05
520;3,355715;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=91092 Win=66560 Len=0;;;;3,355715;3,355768;5,30E-05;;-0,000116;0,000169;0,000285
521;3,355768;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,355768;3,355937;0,000169;;8,00E-06;0,000161;0,000153
522;3,355937;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=238273 Win=4165 Len=0;;;;3,355937;3,356098;0,000161;;5,10E-05;0,00011;5,90E-05
523;3,356098;192,168,43,157;172.217.194.132;TCP;54;50213  >  443 [ACK] Seq=426 Ack=39208 Win=260 Len=0;;;;3,356098;3,356208;0,00011;;-2,40E-05;0,000134;0,000158
524;3,356208;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=239633 Win=4165 Len=0;;;;3,356208;3,356342;0,000134;;-0,000568;0,000702;0,00127
525;3,356342;192,168,43,157;74.125.200.190;TLSv1,2;182;Application Data;;;;3,356342;3,357044;0,000702;;0,000702;0;-0,000702
526;3,357044;74,125,24,119;192,168,43,157;TLSv1,2;6854;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,357044;3,357044;0;;-0,000248;0,000248;0,000496
527;3,357044;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=91092 Ack=3361 Win=72192 Len=2720 [TCP segment of a reassembled PDU];;;;3,357044;3,357292;0,000248;;0,000106;0,000142;3,60E-05
528;3,357292;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=246433 Win=4165 Len=0;;;;3,357292;3,357434;0,000142;;-0,001023;0,001165;0,002188
529;3,357434;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=93812 Win=66560 Len=0;;;;3,357434;3,358599;0,001165;;0,000864;0,000301;-0,000563
530;3,358599;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,358599;3,3589;0,000301;;-0,000443;0,000744;0,001187
531;3,3589;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=247793 Win=4165 Len=0;;;;3,3589;3,359644;0,000744;;0,000744;0;-0,000744
532;3,359644;74,125,24,119;192,168,43,157;TLSv1,2;4134;Application Data, Application Data, Application Data;;;;3,359644;3,359644;0;;-0,000325;0,000325;0,00065
533;3,359644;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=93812 Ack=3361 Win=72192 Len=2720 [TCP segment of a reassembled PDU];;;;3,359644;3,359969;0,000325;;-1,30E-05;0,000338;0,000351
534;3,359969;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=251873 Win=4165 Len=0;;;;3,359969;3,360307;0,000338;;8,70E-05;0,000251;0,000164
535;3,360307;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=96532 Win=66560 Len=0;;;;3,360307;3,360558;0,000251;;-2,00E-05;0,000271;0,000291
536;3,360558;74,125,24,119;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;3,360558;3,360829;0,000271;;-0,007241;0,007512;0,014753
537;3,360829;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=253233 Win=4165 Len=0;;;;3,360829;3,368341;0,007512;;0,007512;0;-0,007512
538;3,368341;74,125,24,119;192,168,43,157;TLSv1,2;6854;Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,368341;3,368341;0;;-0,00045;0,00045;0,0009
539;3,368341;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=96532 Ack=3361 Win=72192 Len=2720 [TCP segment of a reassembled PDU];;;;3,368341;3,368791;0,00045;;0,000228;0,000222;-6,00E-06
540;3,368791;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=260033 Win=4165 Len=0;;;;3,368791;3,369013;0,000222;;1,90E-05;0,000203;0,000184
541;3,369013;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=3361 Ack=99252 Win=66560 Len=0;;;;3,369013;3,369216;0,000203;;0,000203;0;-0,000203
542;3,369216;74,125,24,119;192,168,43,157;TLSv1,2;12294;Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data;;;;3,369216;3,369216;0;;-0,000328;0,000328;0,000656
543;3,369216;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=99252 Ack=3361 Win=72192 Len=2720 [TCP segment of a reassembled PDU];;;;3,369216;3,369544;0,000328;;0,00017;0,000158;-1,20E-05
544;3,369544;192,168,43,157;74,125,24,119;TCP;54;50188  >  443 [ACK] Seq=507 Ack=272273 Win=4165 Len=0;;;;3,369544;3,369702;0,000158;;-0,004748;0,004906;0,009654
